Date,Timber Price Index,Chemical Raw Materials Price Index,Energy Price Index,NHPI
202305,113.5595051,101.8095598,124.2715863,94.56
202306,112.196791,99.77336858,120.7919818,94.06
202307,111.1870199,98.27676805,119.1008941,93.78
202308,110.2975237,98.76815189,120.4110039,93.56
202309,110.2975237,100.3484423,122.578402,93.44
202310,110.7387138,101.3519267,124.2944996,93.4
202311,111.4031461,100.5411113,124.1702051,93.42
202312,111.5145492,99.83732355,123.5493541,93.36
202401,111.4030347,99.03862496,122.5609593,92.4
202402,111.1802286,98.84054771,122.1932764,92.13
202403,111.1802286,98.74170717,123.0486293,92.07
202404,111.0690484,98.84044887,121.3259485,92.02
202405,111.2911865,98.93928932,121.5686004,92.01
202406,111.2911865,99.1371679,119.9882086,92.11
