Date,Price
2014/11/24,1457.28564
2014/11/25,1445.747353
2014/11/26,1436.516724
2014/11/27,1424.978437
2014/11/28,1415.747807
2014/12/1,1423.824608
2014/12/2,1436.516724
2014/12/3,1419.209293
2014/12/4,1397.286548
2014/12/5,1411.132492
2014/12/8,1362.671687
2014/12/9,1377.67146
2014/12/10,1429.593752
2014/12/11,1427.286094
2014/12/12,1430.74758
2014/12/15,1436.516724
2014/12/16,1435.362895
2014/12/17,1401.901863
2014/12/18,1371.902317
2014/12/19,1383.440604
2014/12/22,1406.517178
2014/12/23,1393.825062
2014/12/24,1428.439923
2014/12/25,1442.285867
2014/12/26,1452.670325
2014/12/29,1479.208385
2014/12/30,1523.053876
2014/12/31,1408.824835
2015/1/5,1408.824835
2015/1/6,1412.286321
2015/1/7,1414.593979
2015/1/8,1414.593979
2015/1/9,1393.825062
2015/1/12,1396.132719
2015/1/13,1394.978891
2015/1/14,1354.594886
2015/1/15,1368.440831
2015/1/16,1362.671687
2015/1/19,1363.825516
2015/1/20,1355.748715
2015/1/21,1366.133173
2015/1/22,1358.056373
2015/1/23,1366.133173
2015/1/26,1363.825516
2015/1/27,1358.056373
2015/1/28,1364.979345
2015/1/29,1356.902544
2015/1/30,1341.902771
2015/2/2,1339.595113
2015/2/3,1353.441058
2015/2/4,1339.595113
2015/2/5,1340.748942
2015/2/6,1339.595113
2015/2/9,1349.979572
2015/2/10,1356.902544
2015/2/11,1360.36403
2015/2/12,1361.517859
2015/2/13,1386.90209
2015/2/16,1393.825062
2015/2/17,1373.056146
2015/2/25,1031.522852
2015/2/26,1389.209747
2015/2/27,1408.824835
2015/3/2,1428.439923
2015/3/3,1401.901863
2015/3/4,1398.440377
2015/3/5,1394.978891
2015/3/6,1362.671687
2015/3/9,1363.825516
2015/3/10,1355.748715
2015/3/11,1352.287229
2015/3/12,1360.36403
2015/3/13,1343.0566
2015/3/16,1353.441058
2015/3/17,1371.902317
2015/3/18,1381.132946
2015/3/19,1376.517632
2015/3/20,1400.748034
2015/3/23,1413.44015
2015/3/24,1404.20952
2015/3/25,1397.286548
2015/3/26,1403.055692
